mot
like
get
people
know
just
new
see
one
go
thing
need
still
want
say
really
even
make
back
think
going
many
would
could
must
also
may
lot
always
much
every
today
now
day
week
time
year
last
first
next
still
again
way
well
yet
around
never
another
someone
something
anything
nothing
everything
everyone
anyone
thing
things
place
life
feel
felt
give
take
put
seem
keep
find
leave
come
came
went
use
used
help
try
tried
call
called
look
looked
mean
means
show
told
seen
done
saw
say
said
know
known
really
very
more
less
lot
some
most
few
many
much
can
cant
cannot
will
wont
should
shouldn
might
mightn
did
didn
do
dont
does
doesn
is
isn
are
arent
was
wasn
be
been
being
have
has
had
having
were
weren
im
youre
hes
shes
theyre
we
us
our
ours
you
your
yours
he
she
it
its
they
them
their
theirs
i
me
my
mine
a
an
the
and
but
or
so
if
because
although
though
while
in
on
at
by
to
from
for
with
of
about
as
into
up
down
out
over
under
again
before
after
then
than
when
where
how
why
what
which
who
whom
whose
that
this
these
those
yes
no
okay
ok
hey
hi
hello
bye
thanks
thank
please
lol
omg
haha
hahaha
yeah
nah
yep
nope
sure
maybe
okay
rt
via
amp
http
https
www
com
net
org
not
all
his
there
her
good
only
here
any
too
got
ive
other
him
thats
off
through
two
theres
didnt
own
doesnt
without
since
isnt
without
let
bit
until
ago
whole
else
havent
heres
almost
